,zone_winning,zw_agat,zone_comp,zc_agat,zone_winning_2,zw2_agat,zone_winning_comp,zwc_agat,zone_comp_winning,zcw_agat,zone_comp_comp,zc2_agat
0,3402+3404,18,3401+3403+3405+3406+3407+3408+3481+3482+3483,0,3402+3404,18,,,3405,7,3401+3403+3406+3407+3408+3481+3482+3483,0
1,3401+3403+3406+3407+3408+3483+3481+3482,0,3402+3404+3405,18,3408+3483,7,3401+3403+3406+3407+3481+3482,0,3402+3404+3405,18,,
2,3401+3403+3406+3407+3408+3483+3481+3482,0,3402+3404+3405,7,3401,2,3403+3406+3407+3408+3481+3482+3483,0,3402+3404+3405,7,,
3,3401+3403+3406+3408+3483+3481+3482,0,3402+3404+3405+3407,7,3401,1,3403+3406+3408+3481+3482+3483,0,3402+3404+3405,7,3407,0
4,3401+3403+3406+3481+3482,0,3402+3404+3405+3407+3408+3483,7,3401,1,3403+3406+3481+3482,0,3402+3404+3405+3407+3408+3483,7,,
5,3401+3403+3404+3406+3481,0,3402+3405+3407+3408+3482+3483,9,3401,1,3403+3404+3406+3481,0,3405+3407+3408+3482+3483,13,3402,0
6,3408+3482+3483,18,3401+3402+3403+3404+3405+3406+3407+3481,0,3408+3482+3483,18,,,3402+3405+3407,7,3401+3403+3404+3406+3481,0
7,3408+3483,10,3401+3402+3403+3404+3405+3406+3407+3481+3482,0,3408+3483,10,,,3405,7,3401+3402+3403+3404+3406+3407+3481+3482,0
8,3401+3402+3403+3404+3406+3407+3481+3482,0,3405+3408+3483,7,3402,1,3401+3403+3404+3406+3407+3481+3482,0,3405+3408+3483,7,,
9,3402+3405+3408+3483,0,3401+3403+3404+3406+3407+3481+3482,0,3402+3405+3408+3483,0,,0,,,,
10,3406,0,3401+3402+3403+3404+3405+3407+3408+3481+3482+3483,0,,,,,,,,
11,3404,0,3401+3402+3403+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
12,3404,0,3401+3402+3403+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
13,3406,0,3401+3402+3403+3404+3405+3407+3408+3481+3482+3483,0,,,,,,,,
14,3401,0,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
15,3404,0,3401+3402+3403+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
16,3404,0,3401+3402+3403+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
17,3401,2,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
18,3401,1,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
19,3401,1,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
20,3406,0,3401+3402+3403+3404+3405+3407+3408+3481+3482+3483,0,,,,,,,,
21,3407,0,3401+3402+3403+3404+3405+3406+3408+3481+3482+3483,0,,,,,,,,
22,3407,0,3401+3402+3403+3404+3405+3406+3408+3481+3482+3483,0,,,,,,,,
23,3401+3403+3404+3404+3406+3405+3408,0,3402+3407+3481+3482+3483,0,,,,,,,,
24,3401+3402+3404+3408,0,3403+3405+3406+3407+3481+3482+3483,0,,,,,3403+3405+3406+3407+3481+3482+3483,0,,0
25,3405,0,3401+3402+3403+3404+3406+3407+3408+3481+3482+3483,0,,,,,,,,
26,3405,0,3401+3402+3403+3404+3406+3407+3408+3481+3482+3483,0,,,,,,,,
27,3401+3402+3404+3408,0,3403+3405+3406+3407+3481+3482+3483,0,,,,,3403+3405+3406+3407+3481+3482+3483,0,,0
28,3408+3483,3,3401+3402+3403+3404+3405+3406+3407+3481+3482,0,3408+3483,3,,,,,,
29,3408+3483,3,3401+3402+3403+3404+3405+3406+3407+3481+3482,0,3408+3483,3,,,,,,
30,3401+3402+3403+3404+3405+3407+3406+3481,0,3408+3482+3483,3,,,,,3408+3483,3,3482,0
31,3408+3482+3483,3,3401+3402+3403+3404+3405+3406+3407+3481,0,,,,,3401+3402+3403+3404+3405+3406+3407+3481,0,,0
32,3401+3402+3405+3403+3404+3406+3481,0,3407+3408+3482+3483,3,3401+3402+3405+3403+3404+3406+3481,0,,0,3407+3408+3482+3483,3,,
33,3407+3408+3482+3481+3407+3483,3,3401+3402+3403+3404+3405+3406,0,3407+3408+3482+3481+3407+3483,3,,,3401+3402+3403+3404+3405+3406,0,,0
34,3401+3402+3403+3404,0,3405+3406+3407+3408+3481+3482+3483,2,,,,,3407+3408+3482+3481+3407+3483,3,3405+3406,0
35,3401+3402+3404+3403+3406,0,3405+3407+3408+3481+3482+3483,2,,,,,3405+3407+3408+3481+3482+3483,2,,
36,3401+3402+3404+3403+3406,0,3405+3407+3408+3481+3482+3483,2,,,,,3405+3407+3408+3481+3482+3483,2,,
37,3401+3402+3404+3403+3406,0,3405+3407+3408+3481+3482+3483,2,,,,,3405+3407+3408+3481+3482+3483,2,,
38,3401+3402+3404+3403+3406,0,3405+3407+3408+3481+3482+3483,2,,,,,3405+3407+3408+3481+3482+3483,2,,
39,3401+3402+3404+3403+3404+3408+3483,0,3405+3406+3407+3481+3482,1,,,,,3405+3406+3407+3481+3482,1,,
40,3403+3404+3406+3407+3408,0,3401+3402+3405+3481+3482+3483,0,,,,,3401+3402+3405+3481+3482+3483,0,,0
41,3403,0,3401+3402+3404+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
42,3401,7,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,0,,,,,3402+3403+3404+3405+3406+3407+3408+3481+3482+3483,0,,0
43,3401+3402,7,3403+3404+3405+3406+3407+3408+3481+3482+3483,0,,,,,,,,
44,3401+3402+3405+3407+3406+3482+3408+3483,7,3403+3404+3481,0,,,,,,,,
45,3406+3481+3482+3483,7,3401+3402+3403+3404+3405+3407+3408,0,3406+3481+3482+3483,7,,,,,,
46,3403+3406,1,3401+3402+3404+3405+3407+3408+3481+3482+3483,0,3403+3406,1,,,,,,
47,3403+3406,2,3401+3402+3404+3405+3407+3408+3481+3482+3483,0,3403+3406,2,,,3401+3402+3404+3405+3407+3408+3481+3482+3483,0,,0
