,zone_winning,zw_agat_asym,zone_comp,zc_agat_asym,zone_winning_2,zw2_agat_asym,zone_winning_comp,zwc_agat_asym,zone_comp_winning,zcw_agat_asym,zone_comp_comp,zc2_agat_asym
0,4101+4102+4103+4104+4105,3,4106,1,4101+4102+4103+4104+4105,3,,,,,,
1,4101+4102+4103+4104+4105,3,4106,1,4101+4102+4103+4104+4105,3,,,,,,
2,4101+4102+4103+4104+4105,3,4106,1,4101+4102+4103+4104+4105,3,,,,,,
3,4103+4104+4105,2,4101+4102+4106,7,4103+4104+4105,2,,,4101+4102,20,4106,0
4,4102+4103,21,4101+4104+4105+4106,7,4102+4103,21,,,4101,20,4104+4105+4106,0
5,4103+4104+4105+4106,7,4101+4102,2,4103+4104,20,4105+4106,0,4101+4102,2,,
6,4101+4102+4103+4104,7,4105+4106,0,4101+4102+4103+4104,7,,,4105+4106,0,,0
7,4106,7,4101+4102+4103+4104+4105,7,,,,,4101+4102+4103+4104+4105,7,,
8,4103+4104+4105+4106,7,4101+4102,3,4103+4104+4105+4106,7,,,4101+4102,3,,
9,4101,3,4102+4103+4104+4105+4106,7,,,,,4102+4103+4104+4105+4106,7,,
10,4103+4104+4105+4106,7,4101+4102,2,4103+4104+4105+4106,7,,,4101+4102,2,,
11,4102+4103+4104+4105+4106,1,4101,2,4102+4103+4104+4106,1,4105,0,,,,
12,4102+4103+4104+4105,0,4101+4106,1,,,,,4101,1,4106,0
13,4102,0,4101+4103+4104+4105+4106,0,,,,,,,,
14,4101,0,4102+4103+4104+4105+4106,0,,,,,,,,
15,4101,0,4102+4103+4104+4105+4106,0,,,,,,,,
16,departement,0,4102+4103+4104+4105+4106,0,,,,,,,,
17,departement,0,4102+4103+4104+4105+4106,0,,,,,,,,
18,4101,0,4102+4103+4104+4105+4106,0,,,,,,,,
19,4102+4103+4104+4105+4106,0,4101,7,,,,,,,,
20,4104+4105+4106,0,4101+4102+4103,7,,,,,,,,
21,4104,7,4101+4102+4103+4105+4106,7,,,,,,,,
22,4101+4102,9,4103+4104+4105+4106,7,,,,,,,,
23,4102+4103+4104+4105,9,4101+4106,7,,,,,,,,
24,4101+4102+4103,7,4104+4105+4106,13,,,,,,,,
25,4105+4106,13,4101+4102+4103+4104,7,,,,,,,,
26,4104+4105+4106,13,4101+4102+4103,7,,,,,4101+4102+4103,7,,
27,4103+4104+4106,13,4101+4102+4105,7,4103+4104+4106,13,,,,,,
28,4101+4102+4103+4104+4105,7,4106,13,,,,,,,,
29,4104+4105,0,4101+4102+4103+4106,7,,,,,,,,
30,4101,7,4102+4103+4104+4105+4106,0,,,,,,,,
31,4101,7,4102+4103+4104+4105+4106,0,,,,,,,,
32,4103+4104+4105,0,4101+4102+4106,7,,,,,,,,
33,4105,0,4101+4102+4103+4104+4106,7,,,,,,,,
34,4101+4102+4103+4106,7,4104+4105,18,,,,,4104+4105,20,,
35,4102+4103+4104+4105+4106,13,4101,7,4102+4103+4104+4105+4106,13,,,,,,
36,4104,7,4101+4102+4103+4105+4106,9,,,,,4101+4102+4103+4105+4106,9,,
37,4104+4105+4106,9,4101+4102+4103,13,,,,,4101+4102+4103,13,,
38,4102+4103+4106,10,4101+4104+4105,13,4102+4103+4106,10,,,4101,13,4104+4105,0
39,4103,10,4101+4102+4104+4105+4106,13,,,,,,,,
40,4102+4103+4104,13,4101+4105+4106,7,4102+4103+4104,13,,,,,,
41,4104+4105+4106,7,4101+4102+4103,13,,,,,4101+4102+4103,13,,
42,4102+4103+4104+4105+4106,7,4101,9,,,,,,,,
43,4102,18,4101+4103+4104+4105+4106,7,,,,,,,,
44,4103+4104+4105,20,4101+4102+4106,7,4103+4104+4105,20,,,4106,7,4101+4102,0
45,4102+4103+4104+4105+4106,7,4101,19,4102+4103+4104+4105+4106,7,,,,,,
46,4101+4102,20,4103+4104+4105+4106,7,4101+4102,20,,,4103+4104+4106,7,4105,0
47,4101+4102+4103+4105+4106,7,4104,0,4101+4102+4103+4105+4106,7,,,,,,
